# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Count (DOWNSTREAM)	Count (INTRON)	Count (NON_SYNONYMOUS_CODING)	Count (SPLICE_SITE_DONOR)	Count (START_LOST)	Count (STOP_GAINED)	Count (STOP_LOST)	Count (SYNONYMOUS_CODING)	Count (SYNONYMOUS_START)	Count (SYNONYMOUS_STOP)	Count (UPSTREAM)
PST130_00001	PST130_00001	mRNA	0	0	38	0	0	1011	0	0	1286	0	0	275	0	0	8	0	0	163	0	0	0	0	0	0	0	0	0	0	0
PST130_00002	PST130_00002	mRNA	7	0	1318	0	0	375	0	0	418	0	0	43	0	0	2	0	0	2448	7	0	0	0	0	0	0	0	0	0	0
PST130_00003	PST130_00003	mRNA	0	0	3582	7	0	576	0	0	576	0	0	0	0	0	0	0	0	26	0	0	4	0	0	0	0	3	0	0	0
PST130_00004	PST130_00004	mRNA	0	0	530	0	0	363	0	0	704	0	0	341	0	0	4	0	0	1326	0	0	0	0	0	0	0	0	0	0	0
PST130_00005	PST130_00005	mRNA	0	0	77	1	0	1170	1	0	2079	0	0	909	0	0	22	0	0	309	0	0	0	0	0	0	0	1	0	0	0
PST130_00006	PST130_00006	mRNA	0	0	3	0	0	1104	0	0	1209	0	0	105	0	0	2	0	0	65	0	0	0	0	0	0	0	0	0	0	0
PST130_00007	PST130_00007	mRNA	0	0	5000	1	0	1083	0	0	1911	0	0	828	0	0	18	0	0	1856	0	0	1	0	0	0	0	0	0	0	0
PST130_00008	PST130_00008	mRNA	2	0	5000	0	0	1347	0	0	2168	0	0	821	0	0	20	1	0	5000	2	0	0	0	0	0	0	0	0	0	1
PST130_00009	PST130_00009	mRNA	0	0	5000	3	0	2991	1	0	4516	0	0	1525	0	0	38	0	0	6	0	0	1	0	0	0	0	2	0	0	0
PST130_00010	PST130_00010	mRNA	8	0	5000	0	0	678	0	0	746	0	0	68	0	0	2	0	0	55	8	0	0	0	0	0	0	0	0	0	0
PST130_00011	PST130_00011	mRNA	0	0	3382	8	0	1773	8	0	2872	0	0	1099	0	0	8	0	0	32	0	0	0	0	0	0	0	8	0	0	0
PST130_00012	PST130_00012	mRNA	0	0	1425	0	0	192	0	0	338	0	0	146	0	0	2	0	0	342	0	0	0	0	0	0	0	0	0	0	0
PST130_00013	PST130_00013	mRNA	0	0	629	0	0	1050	0	0	1079	0	0	29	0	0	2	0	0	1637	0	0	0	0	0	0	0	0	0	0	0
PST130_00014	PST130_00014	mRNA	0	0	22	0	0	459	0	0	459	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0
PST130_00015	PST130_00015	mRNA	0	0	959	2	0	1362	2	0	1655	0	0	293	0	0	8	0	0	1124	0	0	0	0	0	0	0	2	0	0	0
PST130_00016	PST130_00016	mRNA	0	0	2709	2	0	507	2	0	507	0	0	0	0	0	0	0	0	48	0	0	2	0	0	0	0	0	0	0	0
